ACARAPE,15/04/25,Feriado Municipal
BOTUCATU,14/04/25,Feriado Municipal
CANGUARETAMA,16/04/25,Feriado Municipal
CARLOPOLIS,02/04/25,Feriado Municipal
COTIA,02/04/25,Feriado Municipal
ITABERA,25/04/25,Feriado Municipal
ITARIRI,09/04/25,Feriado Municipal
JACAREZINHO,02/04/25,Feriado Municipal
JARINU,17/04/25,Feriado Municipal
JUQUIA,10/04/25,Feriado Municipal
LINHARES,28/04/25,Feriado Estadual
MARILIA,04/04/25,Feriado Municipal
PEDRO DE TOLEDO,09/04/25,Feriado Municipal
PIRAPOZINHO,09/04/25,Feriado Municipal
PORTO SEGURO,22/04/25,Feriado Municipal
QUIXERAMOBIM,15/04/25,Feriado Municipal
RESENDE,23/04/25,Feriado Estadual
SAO LOURENCO,01/04/25,Feriado Municipal
TIBAU DO SUL,04/04/25,Feriado Municipal
VINHEDO,02/04/25,Feriado Municipal
